wall_time_s,element_id,active_total,active_fresh,active_stale,inactive_total,collision_count,fresh_ratio,quorum_held,cp_frozen,cycle_count
8.005,4,4,2,2,0,0,0.5,1,0,71
8.112,0,4,1,3,0,0,0.25,0,0,72
8.113,1,4,1,3,0,0,0.25,0,0,72
8.114,2,4,2,2,0,0,0.5,1,0,72
8.114,3,4,2,2,0,0,0.5,1,0,72
8.115,4,4,2,2,0,0,0.5,1,0,72
8.222,0,4,1,3,0,0,0.25,0,0,73
8.223,1,4,1,3,0,0,0.25,0,0,73
8.224,2,4,2,2,0,0,0.5,1,0,73
8.224,3,4,2,2,0,0,0.5,1,0,73
8.225,4,4,2,2,0,0,0.5,1,0,73
8.332,0,4,1,3,0,0,0.25,0,0,74
8.333,1,4,1,3,0,0,0.25,0,0,74
8.333,2,4,2,2,0,0,0.5,1,0,74
8.334,3,4,2,2,0,0,0.5,1,0,74
8.335,4,4,2,2,0,0,0.5,1,0,74
8.442,0,4,1,3,0,0,0.25,0,0,75
8.443,1,4,1,3,0,0,0.25,0,0,75
8.444,2,4,2,2,0,0,0.5,1,0,75
8.444,3,4,2,2,0,0,0.5,1,0,75
8.445,4,4,2,2,0,0,0.5,1,0,75
8.552,0,4,1,3,0,0,0.25,0,0,76
8.553,1,4,1,3,0,0,0.25,0,0,76
8.554,2,4,2,2,0,0,0.5,1,0,76
8.554,3,4,2,2,0,0,0.5,1,0,76
8.555,4,4,2,2,0,0,0.5,1,0,76
8.662,0,4,1,3,0,0,0.25,0,0,77
8.663,1,4,1,3,0,0,0.25,0,0,77
8.663,2,4,2,2,0,0,0.5,1,0,77
8.664,3,4,2,2,0,0,0.5,1,0,77
8.665,4,4,2,2,0,0,0.5,1,0,77
8.772,0,4,1,3,0,0,0.25,0,0,78
8.773,1,4,1,3,0,0,0.25,0,0,78
8.774,2,4,2,2,0,0,0.5,1,0,78
8.774,3,4,2,2,0,0,0.5,1,0,78
8.775,4,4,2,2,0,0,0.5,1,0,78
8.882,0,4,1,3,0,0,0.25,0,0,79
8.883,1,4,1,3,0,0,0.25,0,0,79
8.884,2,4,2,2,0,0,0.5,1,0,79
8.884,3,4,2,2,0,0,0.5,1,0,79
8.885,4,4,2,2,0,0,0.5,1,0,79
8.992,0,4,1,3,0,0,0.25,0,0,80
8.993,1,4,1,3,0,0,0.25,0,0,80
8.994,2,4,2,2,0,0,0.5,1,0,80
8.994,3,4,2,2,0,0,0.5,1,0,80
8.995,4,4,2,2,0,0,0.5,1,0,80
9.102,0,4,1,3,0,0,0.25,0,0,81
9.103,1,4,1,3,0,0,0.25,0,0,81
9.103,2,4,2,2,0,0,0.5,1,0,81
9.104,3,4,2,2,0,0,0.5,1,0,81
9.105,4,4,2,2,0,0,0.5,1,0,81
9.212,0,4,1,3,0,0,0.25,0,0,82
9.213,1,4,1,3,0,0,0.25,0,0,82
9.213,2,4,2,2,0,0,0.5,1,0,82
9.214,3,4,2,2,0,0,0.5,1,0,82
9.215,4,4,2,2,0,0,0.5,1,0,82
9.322,0,4,1,3,0,0,0.25,0,0,83
9.323,1,4,1,3,0,0,0.25,0,0,83
9.323,2,4,2,2,0,0,0.5,1,0,83
9.324,3,4,2,2,0,0,0.5,1,0,83
9.325,4,4,2,2,0,0,0.5,1,0,83
9.432,0,4,1,3,0,0,0.25,0,0,84
9.433,1,4,1,3,0,0,0.25,0,0,84
9.433,2,4,2,2,0,0,0.5,1,0,84
9.434,3,4,2,2,0,0,0.5,1,0,84
9.436,4,4,2,2,0,0,0.5,1,0,84
9.542,0,4,1,3,0,0,0.25,0,0,85
9.543,1,4,1,3,0,0,0.25,0,0,85
9.544,2,4,2,2,0,0,0.5,1,0,85
9.544,3,4,2,2,0,0,0.5,1,0,85
9.545,4,4,2,2,0,0,0.5,1,0,85
9.652,0,4,1,3,0,0,0.25,0,0,86
9.653,1,4,1,3,0,0,0.25,0,0,86
9.653,2,4,2,2,0,0,0.5,1,0,86
9.654,3,4,2,2,0,0,0.5,1,0,86
9.655,4,4,2,2,0,0,0.5,1,0,86
9.762,0,4,1,3,0,0,0.25,0,0,87
9.763,1,4,1,3,0,0,0.25,0,0,87
9.763,2,4,2,2,0,0,0.5,1,0,87
9.764,3,4,2,2,0,0,0.5,1,0,87
9.765,4,4,2,2,0,0,0.5,1,0,87
9.872,0,4,1,3,0,0,0.25,0,0,88
9.873,1,4,1,3,0,0,0.25,0,0,88
9.873,2,4,2,2,0,0,0.5,1,0,88
9.874,3,4,2,2,0,0,0.5,1,0,88
9.875,4,4,2,2,0,0,0.5,1,0,88
9.982,0,4,1,3,0,0,0.25,0,0,89
9.983,1,4,1,3,0,0,0.25,0,0,89
9.983,2,4,2,2,0,0,0.5,1,0,89
9.984,3,4,2,2,0,0,0.5,1,0,89
9.985,4,4,2,2,0,0,0.5,1,0,89
10.092,0,4,1,3,0,0,0.25,0,0,90
10.093,1,4,1,3,0,0,0.25,0,0,90
10.094,2,4,2,2,0,0,0.5,1,0,90
10.094,3,4,2,2,0,0,0.5,1,0,90
10.095,4,4,2,2,0,0,0.5,1,0,90
10.202,0,4,1,3,0,0,0.25,0,0,91
10.203,1,4,1,3,0,0,0.25,0,0,91
10.203,2,4,2,2,0,0,0.5,1,0,91
10.204,3,4,2,2,0,0,0.5,1,0,91
10.205,4,4,2,2,0,0,0.5,1,0,91
10.312,0,4,1,3,0,0,0.25,0,0,92
10.313,1,4,1,3,0,0,0.25,0,0,92
